place_id,name,description,is_spending_on_ads,reviews,competitors,website,can_claim,emails,phones,linkedin,twitter,facebook,youtube,instagram,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJjTVgsZabTDAR6-U-JJ8hj-Y,Restoran Api Api Ikan Bakar,,False,2265,"Name: **i** *kan *akar** *e*f***
link: **t*****w*w*g**gl*.com*maps****rch******+*k*n+B**ar+%2*+*eafo*d/@**3*2***3***0*1**00***a*t*u**r=0&hl=e**en*****t*
Reviews: 553 reviews

Name: LI*AM*****AN *A*** **LA
link: ht**s:**ww**go****.co**ma*s/*e***h**IZ*M*T***A*+B*KA**K*LA/*****4*72*,100**3051*9**u**use***&h**en****r*=*tu
Reviews: 460 reviews

Name: **p**r* **** B***r*K*a*a*Perlis
link: h***s:****w**o*gle.*o*/*ap*/*e*r**/A*put***Ikan+Ba**r****la**er**s*****9*1***,*00**3*1*7?a*thuse*=***l*e**e*tr***tu
Reviews: 207 reviews

Name: L*z**Ma**I**n B*k**
link: **t**:**w*w***og*e.c*m/**ps/se*rch***za+**t***a**B**ar*@6*40*0*****00.1***83*****999*au*h**e*=0****en*entry**t*
Reviews: 117 reviews

Name: Kak**** ***n B*k*r
link: *******/*w******l*.c**/**ps/*****h*Kak+*ie**k*n*Ba****@6.3***5*4*0*00*0**,*0*.1*03***0000001?**th***r=**h****&entry=ttu
Reviews: 21 reviews",**t*s*/*w**.*ace*o*k**o***p*apii***b****k*a*aperl*s/,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,R*****an A** Ap* Ik***Baka**(*****),ht**s***www*g**gl**co*/m***/*o*t*ib*10****8**9*3780**6*4*,**t*s:***h5.******u*er***te**.co**p/A*1**p*E*2zwidb*X***PgF****V*h*T**DmS*E*YL*y=***6-h**0*k*n*,Seafood restaurant,Seafood restaurant,4.3,5*9:*0***,**en A*l*D***,0**-4*0 1***,"Restoran Api Api Ikan Bakar, Jalan Dato Ali, Bukit Tok Po, 02000 Kuala Perlis, Perlis","r*v**, *ep**g, *a**ing **a**, **mb*l, **ta*, **my*m, b*tt*r*p*a**, *oc*nu* ***k, g***l*d **sh, p***i",https://www.google.com/maps/place/Restoran+Api+Api+Ikan+Bakar/data=!4m7!3m6!1s0x304c9b96b160358d:0xe68f219f243ee5eb!8m2!3d6.4084674!4d100.1413646!16s%2Fg%2F11bwsmmqpd!19sChIJjTVgsZabTDAR6-U-JJ8hj-Y?authuser=0&hl=en&rclk=1
ChIJ556mrCaaTDARkPwRivlgYsQ,Warung Tepi Sawah 2769,*r*a*f*s* o*l*,False,1672,"Name: Capat* L**u *a*o*g*&**a*i*G**** P****
link: h**ps*/***w**oogle**o*/*ap**s**rc**Capa***Lab*+**y*ng*%26*******u**i+P**as/@6.4408876,*0**1*8**0*9****9*?a*th****=*******&*nt**=t**
Reviews: 737 reviews

Name: ***ung**an*
link: htt****/w*w*google.*om*m***/sea*c*/****ng****a/*6*43**3*4****.*0*986*9*******a*t**ser*0&hl**n*****y*ttu
Reviews: 37 reviews

Name: *a*u*g Pe****a*
link: **t*****w**.g**g*e.*om/****/**a****W****g+P*nde**r/**.4917955****.193**13*au*hu**r=0***=e**entr*=**u
Reviews: 36 reviews

Name: W*r*** T*p* *e**an*
link: ht**s:*/**w**o*gl**c***m**s*s**r*****r****Tepi***n**ng/@*.438*2***99**99*,10*.*0*03*2*a*th*s*r=0*hl*en**n*r*=**u
Reviews: 6 reviews

Name: ***u****ar**an P*gi
link: *tt*s:/*www.**og***com*m*****ea***/Wa**n**Sa*ap***Pag*/*6***148**99***9996,*0******591*99*9***a*t*us**=*&*l=**&e***y*t*u
Reviews: 0 reviews",**t**:*/*w**f*ceb*ok.c***W*ru*g-*epi*******1*3**15*03427***,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,W***n**T*p* Sawah****9 *Ow*e**,*ttps**/ww*.*oo**e.co*/*a*s***n*rib**0**3******962***2*8*,*t*ps:****5.*oogle*s**co*t*nt*com**/*F1*i*NvJL*Bg*3*s****YS1Ty***3*******Td**m****4**-h*0**k-**,Restaurant,Restaurant,4.2,7 a*-1****,M**da*,0**-**** 77*9,"Warung Tepi Sawah 2769, Kg Bohor Janggus, 01000 Kangar, Perlis","**k*ng*, ***i l*m*k, *ul**, c**w*, ****ake, **u*t*in, s*t**, ro*i*ca***, **pa*i, sce****",https://www.google.com/maps/place/Warung+Tepi+Sawah+2769/data=!4m7!3m6!1s0x304c9a26aca69ee7:0xc46260f98a11fc90!8m2!3d6.4496424!4d100.1650457!16s%2Fg%2F11f3263sby!19sChIJ556mrCaaTDARkPwRivlgYsQ?authuser=0&hl=en&rclk=1
ChIJ95T_kIObTDARPPyonBPvE9w,Hai Thien Seafood Restaurant Hai Tian Hai Xian ,,False,1506,"Name: ***t*r*n*N*laya*
link: ht*ps:*/***.***g**.com*ma****e*rc*/*e*t****+N*lay*n****4*1**68*1*0.1*******au**us**=0&hl*en&**try*t**
Reviews: 614 reviews

Name: *on**I*** Ba*ar*& M**a**n*La**
link: ht**s:**www****gle.c**/**ps****rc*/M*n*+*k*n+Bak**+%*6+Mak**a*+****/@*.****90***00.1*84**1****999*a*t**s*r***h*=e**ent****t*
Reviews: 237 reviews

Name: C*o* *h*n **
link: ****s*//**w**o**le.*o*/m*ps****rc*/**oo+*he*+Li/@6.**98*****00***219**9*99**9?a*t*****=0**l*en**n**y=tt*
Reviews: 14 reviews

Name: Ku*la*P*rl*******o***Re*tau*an*
link: ht***:***w***o**l***o**ma*s/s*a***/Kual**P*r**s+***foo*+**st*u**n***6***6*509,*00.1*****49999*9*?a**h*se***&h*=***entr**ttu
Reviews: 11 reviews

Name: F*ezah **an *a*****ea*oo*****t***ant
link: ht**s:*/**w*g**g*e**o***a*s/*earc**Fae***+Ika*****ar+**a**od+****a*ran*/***3*5991**100**2*3*2*?*u*h*se**0**l*en*en*r***t*
Reviews: 6 reviews",**t****/***a*e*oo*.co*/*****ienR**toran/,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*ai **i*n ***foo* Res*au*a*t *Tian ****O*****,h**ps://***.g**gle*c*******/*o****b/*1394**0*41**3**96*38,h**ps**/l***go*gle***r*on**nt.**m/p************X*QTee***Re*8**2Lzw8sC***b*cM*JYJ=w*0*-**4****no,Seafood restaurant,Seafood restaurant,4.3,4:*0-** **,W**n*s**y,*****6* 9778,"Hai Thien Seafood Restaurant Hai Tian Hai Xian , Jalab Jeti Baru, 02000 Kuala Perlis, Perlis","*a**l, sa***, *****s praw*, y*u**i*o, m*sl**, *al*e***gg, *utt*r *r***, **aka*, s*e*m **s*, *r******e*cream",https://www.google.com/maps/place/Hai+Thien+Seafood+Restaurant+%E6%B5%B7%E5%A4%A9%E6%B5%B7%E9%B2%9C/data=!4m7!3m6!1s0x304c9b8390ff94f7:0xdc13ef139ca8fc3c!8m2!3d6.3943201!4d100.1293651!16s%2Fg%2F1232ncjyp!19sChIJ95T_kIObTDARPPyonBPvE9w?authuser=0&hl=en&rclk=1
ChIJA6Tg97CZTDARrLf_05XOSZQ,Chortiez & Co,We A** ***oe*g**hort*e* *as* *n******rn**oo*,False,1284,"Name: *** TA C**N**S
link: *t***:*/w*w.**og*e.**m*ma***sea*c**CHE*****OR**R*/@6*43*45*8,1**.18*0**89**99*****t***er=0&*l*e*&*****=*tu
Reviews: 95 reviews

Name: Ei*ht***i*e*C*lci***Pe*l**
link: ht*p**/*w*w*g*o*le.com/***s/s**rch/****ty****e*C**c***+P*rl*s**6**5*2*16****99*9,*0**1*82**5*99*9*9*a*th**e*=0***=en**nt***tt*
Reviews: 84 reviews

Name: *da**B*s*r* **st**n K*n**r
link: *tt*s*//**w.g**gle***m**a**/**ar****d***Bist****est*****a**ar/*6.4*4***9***0**01*100.2*646*4*au*h**er=0&**=**&en**y**t*
Reviews: 6 reviews

Name: ***ie ch*r***wte**
link: ht***:*/ww*.goo*l*.co***a***sear**/******c*ar*o**te***@*.**3**369*9*9*99,100.*405****authu**r*0&*******n*r*=***
Reviews: 0 reviews",*tt*s:***w*.*a*eb*****o*/C*****ez-**-2**49*2*171741**,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*h***i** & C****w*er),https***w***g*o**e*com*m*****on*ri*/10**780**2****966***5,***ps****h5***o**e****c***ent*c***p/A******mH*paIMA*LufDp*W0*m****k0wb*q*2**fE1K***0*-h3*6*k-n*,Restaurant,"Restaurant, Beverage distributor, Cafe, Live music venue, Steak house",4.4,6****45 p*,Ope****l D***,*1*-6****592,"Chortiez & Co, 5, Jalan Sena Indah, Taman Sena Indah, 01000 Kangar, Perlis","we**e***f*od, *a*d, **op, *a*b, **fe, ca*bo****, *ushr*om*****, ***ien*, b***er*, *gl** *li*",https://www.google.com/maps/place/Chortiez+%26+Co/data=!4m7!3m6!1s0x304c99b0f7e0a403:0x9449ce95d3ffb7ac!8m2!3d6.4464095!4d100.2057556!16s%2Fg%2F11c5bl94gh!19sChIJA6Tg97CZTDARrLf_05XOSZQ?authuser=0&hl=en&rclk=1
ChIJkfHPor-ZTDARFkESFovQjUc,Restoran Suri Masakan Melayu Asli,,False,1037,"Name: ***un* K**i
link: htt****/www.*o**le*c*m****s/se*r*h*An**n*+K**i*@6*4*981**10***16****?*uthu*er=********e*tr***t*
Reviews: 2457 reviews

Name: W*r*n* **pi**awa* ***9
link: **t*s**/ww*.*oo***.**m/**ps****rc*/**ru**+*e**+*a*ah**7***@*.4***4*4,*0**1*504**0*0000*?*ut**se*=0**l=en*e**r**ttu
Reviews: 1672 reviews

Name: Re*t**a***u*li****gat
link: http****w*w.**ogl*.*o**ma**/*earc*/R*s***a**Ku**i+*a******6.43*63*****99*****0**21***79****9*9*au*h**e**0&*l=**&entry=tt*
Reviews: 440 reviews

Name: No** **l*b*r*
link: **tp***/w***go*gle.***/**ps/se**ch/***r***l*b*ri/@***3*8********2**82*49***999?authu*e*=0*h**e*&e*t**=*t*
Reviews: 109 reviews

Name: Ked*i**akan **ha******
link: http****ww*.*o****.c***ma**/*e*rc*/**d****ak*n+Ish*k*D*u**@****25**2***0*19**765**uthuse**0&h****&e***y=tt*
Reviews: 26 reviews",h****/*re*toransur******s*b*o**po*.**m*,True,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*e*t***n S**i **s*k** M*lay* Asl****wn***,,*t****/****.**og*eus*r**n***t.c****/**1*i***v***tH**1fRW7*nZF3zZi8**oP**Tc*jw6**=*40*-h3*6-****,Malay Restaurant,Malay Restaurant,4.5,*:*0 **-4**m,*u*da*,0**-577 ****,"Restoran Suri Masakan Melayu Asli, Jalan Kampung Pondok, Kampung Pondok, 01000 Kangar, Perlis","*r*c*, **oi*e*, **uk, p****ng, lo*a****od, **mba*, *r**itio**l*f**d, **** c*mp*r, **** *akar, k*ra**",https://www.google.com/maps/place/Restoran+Suri+Masakan+Melayu+Asli/data=!4m7!3m6!1s0x304c99bfa2cff191:0x478dd08b16124116!8m2!3d6.4526997!4d100.1946724!16s%2Fg%2F11b72btj2w!19sChIJkfHPor-ZTDARFkESFovQjUc?authuser=0&hl=en&rclk=1
ChIJ_TVumKiZTDARkz-KKzf0T2E,Tff Cafe,Al* *o*d***s **a** to e****Be** *r***s in ***n***p****ai*y.*Goo**p**ce**or*yo*ng &*fa*i*y.****por*****a* ,False,937,"Name: **o*i@*a*g*r
link: *t******www********c**/ma*****arc***g*p*%4*K**ga*/@*.*3*21570000**01,1*0.**58*2**a****s*r=**hl=*n**nt*y=tt*
Reviews: 814 reviews

Name: K**fee*K***he*
link: ****s**/**w**o***e*c*****ps/**ar*h/Ko***e+*it**en**6.4172*5****0.2*30******t*user=0**l=*n&en*ry**t*
Reviews: 377 reviews

Name: G*re* *a**
link: h*tps*/*ww*.**og*e**om*m**s*s*arc**Ger*g+Ca***@6.45***31000*0***,*0**1*****699***9*?*ut*u*er********&en***=*t*
Reviews: 363 reviews

Name: T***D'*un**C**fee** C**e
link: ht**s*//****go**l**c**/m*p****a*c*/**e+D**7****+Co*****%*6+Ca****6**39**16**00*1954449**ut**se*=0&*l=en***try**t*
Reviews: 23 reviews

Name: *itch*****fe
link: h*tps:*/***.go***e*c**/m*p*/s**r***K**ch*n+***e***.**5*886,***.*21*1*5**99***?aut**s***0**l*en&ent*y**tu
Reviews: 4 reviews",*ttp*/**w**w*s*p.m**+*011******28,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,T** *a** **wn*r),****s*/*w*w*goo*l****m**a**/*o**ri*/11**1253**4**07*7053*,h**p*://***.***g***s*rc*n*e*t.*****/*F**i**qaIi*eGzrR*5**ahJ*aax*r3nLP*S*****R*N=**26****0-**n*,Cafe,Cafe,4.5,*1 ***1* p*,**e* **l D*y*,,"Tff Cafe, Jalan Dahlia, Taman Ira, 01000 Kangar, Perlis","pr***, **ss**t, *a*g**m***sha*e, ve*d**, ch*i***, t**e*aw**, *ea**al*, **st*** foo*, ca***e*, **ag**t*i",https://www.google.com/maps/place/Tff+Cafe/data=!4m7!3m6!1s0x304c99a8986e35fd:0x614ff4372b8a3f93!8m2!3d6.4367587!4d100.2046924!16s%2Fg%2F11c6zpmpq8!19sChIJ_TVumKiZTDARkz-KKzf0T2E?authuser=0&hl=en&rclk=1
ChIJVXZuWISZTDARgxzPRkmkMt0,Capati Labu Sayong & Nasi Gulai Panas,,False,737,"Name: **j**g K*l*
link: *ttp*:**w*w*go**l**co**m*****e*r**/*nju**+K**i*@6.42**1****0**1**8*3?**th**er=*&h*=*n&**tr*=t*u
Reviews: 2457 reviews

Name: W**u*g**ep***a**h 2*69
link: *t*p*://w*w**o**le.c****a*s*searc*/Wa**n*+*e**+Sa***+*76*/*6***9642**1*0****04*7*0000*****t***er=0*h**e***n*ry***u
Reviews: 1672 reviews

Name: *est**a* *a*ati***a*
link: *t*****/**w**o***e.*o***aps/**ar**/R*st*ra**C*p*ti*A**u/*6.*29**92*1**.*736772?aut*us*******=***e*t**=*tu
Reviews: 742 reviews

Name: ****or*n Pa**C**t
link: **tps:*/*ww****gl**co**m**s***a***/R***ora****k**h*t/@****6*76*99999*9**,**0**0**962999*99*?a****s*r=0*hl*e*&entr****u
Reviews: 221 reviews

Name: **ru*g*B*lu*
link: h*tps*/**w*.*oo*l**com**aps/***rc*/*a*un***a**n***.435*752****9*99*10*.*9*119*?a****s***0**l=***e****=*tu
Reviews: 107 reviews",*tt*s://*.fa**boo*.*****a**t*la****yu**/,True,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,****** ***u S*yon* &***** *ula* **na**(Own*r),,***p*:/**h*.*****e*se***nten*.c*m/***F1***P*P****a*z7*tl**M*MV*WhtE**q*u**BksaI*=**0*-h3***k-n*,Restaurant,Restaurant,4.2,"7*am-** *m, * *****a*",*****sday,0*-2** ***4,"Capati Labu Sayong & Nasi Gulai Panas, 26, Jalan Raja Syed Saffi, Kampung Bintong, 01000 Kangar, Perlis","sa***n*, b***k**st, *ha*a**, gr***, c**r*, **si*l**ak, *rin**",https://www.google.com/maps/place/Capati+Labu+Sayong+%26+Nasi+Gulai+Panas/data=!4m7!3m6!1s0x304c9984586e7655:0xdd32a44946cf1c83!8m2!3d6.4408876!4d100.1789004!16s%2Fg%2F11bxfydl95!19sChIJVXZuWISZTDARgxzPRkmkMt0?authuser=0&hl=en&rclk=1
ChIJ9y8Ruf-YTDARnp8C3tBr1so,Dunia Yong Tau Foo Jalanan,,False,729,"Name: *nju*g****i
link: *tt**:/*****g**gle.*om/ma**/se***h*An**ng+***i/****2**17****.2*6981*?*ut**s***0****e*&*ntr**ttu
Reviews: 2457 reviews

Name: *e*tora* ***** ***g*T*u *o* **lanan*Ka*g*r*J***
link: ****s*/*ww****o*l*****/ma*s**ea*ch/Resto*an+*un**+**ng+T*u*Fo******nan*K*n*a*+J**a/@6****39*4**00*1**93**9*9**99*a*t*u**r=**hl*e**en**y***u
Reviews: 37 reviews

Name: R*s**ra* D***a***le*a*J**a*an L**a*y
link: h*t*s://ww****o**e.*om**aps***a*c**R**to*a*+*uni****lera*Jalana*+*e*acy*@6*439*398****.***59*9****h*s*r*0*********tr**t**
Reviews: 14 reviews

Name: **n* T***F** A**ng*Bo*ak
link: h***s***www.g****e.**m***ps*s***ch***ng*T*u*Foo***a**+***a**@6.438******00**6932*9999*9**?*u*huse**0&h*=*n&e***y*t*u
Reviews: 3 reviews",http***/*****e*ook.**m*p*ges**e**i***n**-Y*n*-*au*Fo**J*la*an****ga*p*rlis**1***9*12*64*7*,True,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Du*ia**o***Ta* **o**a**nan**Ow*e*),,https:*/lh*.*oo*l*u****o**ent***m*p*A*1Q**MZ-K*cqg***g******w*d*d9D**EP**5**r***=***8**3***k-no,Restaurant,Restaurant,4,5**m***am,**nda*,0*4-*0* ***5,"Dunia Yong Tau Foo Jalanan, Kampung Padang Behor, 01000 Kangar, Perlis","ch****s, *r*c*, **uc*, nasi****e**, ***te** foo*, s***y, *ih**, *h***en, *a**ly",https://www.google.com/maps/place/Dunia+Yong+Tau+Foo+Jalanan/data=!4m7!3m6!1s0x304c98ffb9112ff7:0xcad66bd0de029f9e!8m2!3d6.4310834!4d100.216775!16s%2Fg%2F11b6jb36lv!19sChIJ9y8Ruf-YTDARnp8C3tBr1so?authuser=0&hl=en&rclk=1
ChIJo_mrMKCZTDARUnQ0fp90i5M,Pizza Hut Restaurant Kangar,*i*** *ut *****e**a*g*st*****a c***n i**Ma*ay*ia*wit* **** 4*0 *e*tau**nts*s*rvi*g*****l**i**s m*x o* **tri*i**s*I*a*i*n***e*i*an **i*in* that**n*lu*e* *he w**l*** *a**u*ite *an**i*** a***o***r*s*gn***re*d***es,False,618,"Name: ***ino****a*gar
link: http**//**w.**o**e.*o*/map*/s****h/**m****2*s+***g**/@**4*4****100*1*7742**a***u***=*&hl**n&***ry=*tu
Reviews: 617 reviews

Name: Hao **Dian 
link: ht*****/w**.****le.co*/ma**/**a*c***E****%*D*E8**E**0%E9*A*%**%*5*B**97/@*.*3*37*6*1*0.***94**?authu*er=*&**=*n&**t****t*
Reviews: 90 reviews

Name: P*z*a**c**us *y*Na**** **en *e*l*s
link: *tt*s:/****.goo*l*.co****p***earc*/**z**l******+*y+*asuh*+Ove*****lis*****5**9**00*000*1***0.*622285**u*h*ser=****=**&e****=t*u
Reviews: 22 reviews

Name: ***g*r **kar
link: *ttp***/*w*.google.c*m/m*p*/**a*******g**+*a****@*.4*519**99***999**0*.19*7838**uth****=0****e****tr***tu
Reviews: 0 reviews",*ttp*:*/w*****z*ahut.*o***y*,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Pi**a H****es*a***** Ka*ga**(*w*e*),**t*s:*/***.goo******m*m***/**nt*i***16*371*1**22*2569*91,h***s****h5*go**le*ser**nte**.c*m*p/*F*Qi**0*f**5**g**U***uX-***6J*_**bQ*Q*i*oUc*w***-h***-k*no,Pizza restaurant,"Pizza restaurant, Fast food restaurant",4,9 a**10*** **,O******l*Days,****0-8*-2**5,"First Floor, Pizza Hut Restaurant Kangar, No. 26 & 28, Kanger, Jalan Bukit Lagi, 01000 Kangar, Perlis","so**, p**k**g",https://www.google.com/maps/place/Pizza+Hut+Restaurant+Kangar/data=!4m7!3m6!1s0x304c99a030abf9a3:0x938b749f7e347452!8m2!3d6.435332!4d100.193754!16s%2Fg%2F1hc4wpvq8!19sChIJo_mrMKCZTDARUnQ0fp90i5M?authuser=0&hl=en&rclk=1
ChIJ9_mHRgCYTDARZHbGp16eHPA,Pokok Sawa,"2* 51**"" C*is** Ke*i**ok***aw* * **e* **l**i**20**",False,561,"Name: K***i*I*an B*k*r***r**s*Q**eh
link: ht**s:*/www.*****e*c*m/m**s/*e**ch/K*dai***an****ar+Pe*lis*Q*se********834***0.1****8**000**1*a*th**e*=*&**=e**e*t***tt*
Reviews: 254 reviews

Name: ****ng W*w
link: ***p**//**w.g**g*e.*****ap*/searc***ar**g**o****.4731******.2**949**a***u**r*0&*l=en*e**ry=ttu
Reviews: 4 reviews

Name: *****g Poko* A***
link: *t*p**//w**.****le.co**ma**/*ea*c*/Wa**n**Po*o***sam/@****2***5*99999***1*0*2***1***au*h***r=**hl=**&*ntry**tu
Reviews: 1 reviews

Name: *****g L*k** RE*TU
link: ht*p***/ww*.go*g*e*com*m*p*/s*a**h/**ru****aks*+*E******.*76***0*9*9****5,****2**461*?*u**u*er*0**l=en&**tr**ttu
Reviews: 1 reviews",h****//**w**a*eboo***o*/w***ngp*koks***,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*o*ok Sa***(O***r*,*****:*/**w.*o**l**com/m*p**co*tr*b/**0**6*9**9904*9***78,h*t*s://**5*g*******er**nt****c***p*****ipPaa**xk***AsC*gB*lEAI*9a*u*T***K*V*NQo*w*80*h240****o,Asian restaurant,"Asian restaurant, Malay Restaurant, Southeast Asian restaurant",4.2,1***0 am-**3***m,*ri**y,0***38*1*7*,"Pokok Sawa, Kampung Kersik, Kampung Mata Ayer, 02500 Kangar, Perlis","*a**is*, go**n*, ***a* foo*, p*i**, s*m*a*, ***ur",https://www.google.com/maps/place/Pokok+Sawa/data=!4m7!3m6!1s0x304c98004687f9f7:0xf01c9e5ea7c67664!8m2!3d6.4724562!4d100.2580339!16s%2Fg%2F1v0bw1fk!19sChIJ9_mHRgCYTDARZHbGp16eHPA?authuser=0&hl=en&rclk=1
ChIJ_6bvtt2ZTDARSmZmDawdBAs,Bossku House,,False,485,"Name: *** H**** Cafe
link: h*tps:**ww***o**le***m*m*ps/*ea***/Th*******+*a***@6.*5*****1*0.***38*8?auth*s**=0&**=*n&e*try=***
Reviews: 397 reviews

Name: B**aq**a*e
link: h**p*****ww.g*og*e.***/m**s/****c*/Bo*****a*e*@*.4400*38,*00.*9**5*4**999**?*uth**e*=0*hl=***e*****t*u
Reviews: 312 reviews

Name: Ob*e* K**c*e**K**g*r
link: ***ps:*/ww**g**gl*.*om/map*****r**/Ob**s**it****+Ka***r*@6**3*623*9999**9**1*0*20**96***9*9*9**u*h*ser*0&*l**n*e**ry***u
Reviews: 182 reviews

Name: ***FLE*Bo*s**
link: h*tp*:/***w.*oog*e.**m**a**/**ar*h/***FLE+Bos****@6*4**2*309*9***9*5,100**9*1549***9*99*****u*e*=*&*l****en****t*u
Reviews: 7 reviews",*t**:**fa*eb*o*.****bo*s*u*o*se,True,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,*o**ku***us* *O*ne*),,*ttps://**5.g*og***s*r*o**en****m*p/A*1Q*pO***fiheh**F**Nh*v9*Z*E*Hm***A*O***S*Z*********4-k**o,Restaurant,Restaurant,4.1,5 *m****am,**e*d*y,**9-4***087*,"Bossku House, Jalan, Persiaran Jubli Emas, Taman Pekeliling, 01000 Kangar, Perlis","p**c*, fa***y, w*st**n*f*o*, s**a*, e*v***nm**t, *in**r, nas****m*k, *****fast, **ick**, r*t* c*n**",https://www.google.com/maps/place/Bossku+House/data=!4m7!3m6!1s0x304c99ddb6efa6ff:0xb041dac0d66664a!8m2!3d6.4440036!4d100.2043445!16s%2Fg%2F11g3ty9dd8!19sChIJ_6bvtt2ZTDARSmZmDawdBAs?authuser=0&hl=en&rclk=1
ChIJpfXwTBeZTDARFBtuAKyWpcI,Koffee Kitchen,,False,377,"Name: T*f C***
link: *t*ps://****g*o*le.c*m/***s*s**r**/T*f+*a*e/***4***5**9*****99**10*.2*46*2**a*th*se**0&**=e***nt*y*ttu
Reviews: 937 reviews

Name: ***pi*K*ng*r
link: h****://**w*g*o******m/**p**se*rch*N**pi%**K**ga*/@6.439****0*00***1,***.19**0*8*a***u*e*=**hl***&*n*ry=ttu
Reviews: 814 reviews

Name: *e*eg **f*
link: **t**://***.**o****c***ma****earc***ere**Caf*/@***522*3*0****0*1*1*0.*9*891*9*99***?a**huse***&hl=en*e**r*=tt*
Reviews: 363 reviews

Name: *O**TO*
link: h**ps*/***w.***g***co*/ma**/se**c**K*****K*@6.42**858,10**1*6*053*au**u*e*=***l***&*nt**=t*u
Reviews: 313 reviews

Name: **tche**C*f*
link: h*t**:/****.g**gl***o*/map*/se*r***K**ch*n****e/**.4*52*8***00.**1217*99*9*9**a*t***er*0***=en**ntry**t*
Reviews: 4 reviews",h*t**/*w**.fa****ok*c**/k****e*it*hen,False,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,Provide API Key,K**f** K*t*h** (*w*e*),https*//**w.*oo*******/**ps/*o*t*i**1*43***0555****8*68**,h****:***h5*******u*****ntent**om/p/****ipN4B*Q**x*jq20f_*J*D**qG**k*L*5QXW*Zj****42******-k-no,Cafe,Cafe,4.4,*:3* **-**:30 **,Mo*d**,*1***** 2700,"Koffee Kitchen, 27, Exit Jalan Raja Syed Alwi, Kampung Guar Syed Alwi, 01000 Kangar, Perlis","pr***, ch****n, *a*ki**, c**e, *r*l**d, ***ner, la***, c**p, a***sphe**, **a***tti",https://www.google.com/maps/place/Koffee+Kitchen/data=!4m7!3m6!1s0x304c99174cf0f5a5:0xc2a596ac006e1b14!8m2!3d6.4172753!4d100.2030218!16s%2Fg%2F11c4688mk5!19sChIJpfXwTBeZTDARFBtuAKyWpcI?authuser=0&hl=en&rclk=1
